Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U10        SON80P300X60_HS-9L           4mm      13.125mm           4mm      13.125mm        5.31mm      14.325mm  B        180.00 IS25LQ032B-JTLA
U12        DFN65P120x120-4      25.325mm         6.1mm      25.325mm         6.1mm      24.825mm         5.6mm  T        360.00 MIC94093YMT    
U11        QFN40P300X300X80_HS-25L      24.125mm       2.825mm      24.125mm       2.825mm      22.625mm       3.825mm  T        360.00 LV8411GR       
C112       _0201                23.675mm       5.075mm      23.675mm       5.075mm      23.425mm       5.075mm  T        360.00 100n           
C111       _0805_CAP            20.925mm         2.7mm      20.925mm         2.7mm      20.925mm       1.825mm  T         90.00 22u            
PIN84      PLCC68_pin                0mm       15.24mm           0mm       15.24mm           0mm       15.24mm  T        270.00 Pin/Pad        
PIN83      PLCC68_pin                0mm       16.51mm           0mm       16.51mm           0mm       16.51mm  T        270.00 Pin/Pad        
PIN82      PLCC68_pin                0mm       17.78mm           0mm       17.78mm           0mm       17.78mm  T        270.00 Pin/Pad        
PIN81      PLCC68_pin                0mm       19.05mm           0mm       19.05mm           0mm       19.05mm  T        270.00 Pin/Pad        
PIN80      PLCC68_pin                0mm       20.32mm           0mm       20.32mm           0mm       20.32mm  T        270.00 Pin/Pad        
PIN79      PLCC68_pin                0mm       21.59mm           0mm       21.59mm           0mm       21.59mm  T        270.00 Pin/Pad        
PIN78      PLCC68_pin                0mm       22.86mm           0mm       22.86mm           0mm       22.86mm  T        270.00 Pin/Pad        
PIN77      PLCC68_pin                0mm       24.13mm           0mm       24.13mm           0mm       24.13mm  T        270.00 Pin/Pad        
PIN76      PLCC68_pin                0mm        25.4mm           0mm        25.4mm           0mm        25.4mm  T        270.00 Pin/Pad        
PIN75      PLCC68_pin                0mm       26.67mm           0mm       26.67mm           0mm       26.67mm  T        270.00 Pin/Pad        
PIN74      PLCC68_pin             1.27mm       27.94mm        1.27mm       27.94mm        1.27mm       27.94mm  T        180.00 Pin/Pad        
PIN73      PLCC68_pin             2.54mm       27.94mm        2.54mm       27.94mm        2.54mm       27.94mm  T        180.00 Pin/Pad        
PIN72      PLCC68_pin             3.81mm       27.94mm        3.81mm       27.94mm        3.81mm       27.94mm  T        180.00 Pin/Pad        
PIN71      PLCC68_pin             5.08mm       27.94mm        5.08mm       27.94mm        5.08mm       27.94mm  T        180.00 Pin/Pad        
PIN70      PLCC68_pin             6.35mm       27.94mm        6.35mm       27.94mm        6.35mm       27.94mm  T        180.00 Pin/Pad        
PIN69      PLCC68_pin             7.62mm       27.94mm        7.62mm       27.94mm        7.62mm       27.94mm  T        180.00 Pin/Pad        
PIN68      PLCC68_pin             8.89mm       27.94mm        8.89mm       27.94mm        8.89mm       27.94mm  T        180.00 Pin/Pad        
PIN67      PLCC68_pin            10.16mm       27.94mm       10.16mm       27.94mm       10.16mm       27.94mm  T        180.00 Pin/Pad        
PIN66      PLCC68_pin            11.43mm       27.94mm       11.43mm       27.94mm       11.43mm       27.94mm  T        180.00 Pin/Pad        
PIN65      PLCC68_pin             12.7mm       27.94mm        12.7mm       27.94mm        12.7mm       27.94mm  T        180.00 Pin/Pad        
PIN64      PLCC68_pin            13.97mm       27.94mm       13.97mm       27.94mm       13.97mm       27.94mm  T        180.00 Pin/Pad        
PIN63      PLCC68_pin            15.24mm       27.94mm       15.24mm       27.94mm       15.24mm       27.94mm  T        180.00 Pin/Pad        
PIN62      PLCC68_pin            16.51mm       27.94mm       16.51mm       27.94mm       16.51mm       27.94mm  T        180.00 Pin/Pad        
PIN61      PLCC68_pin            17.78mm       27.94mm       17.78mm       27.94mm       17.78mm       27.94mm  T        180.00 Pin/Pad        
PIN60      PLCC68_pin            19.05mm       27.94mm       19.05mm       27.94mm       19.05mm       27.94mm  T        180.00 Pin/Pad        
PIN59      PLCC68_pin            20.32mm       27.94mm       20.32mm       27.94mm       20.32mm       27.94mm  T        180.00 Pin/Pad        
PIN58      PLCC68_pin            21.59mm       27.94mm       21.59mm       27.94mm       21.59mm       27.94mm  T        180.00 Pin/Pad        
PIN57      PLCC68_pin            22.86mm       27.94mm       22.86mm       27.94mm       22.86mm       27.94mm  T        180.00 Pin/Pad        
PIN56      PLCC68_pin            24.13mm       27.94mm       24.13mm       27.94mm       24.13mm       27.94mm  T        180.00 Pin/Pad        
PIN55      PLCC68_pin             25.4mm       27.94mm        25.4mm       27.94mm        25.4mm       27.94mm  T        180.00 Pin/Pad        
PIN54      PLCC68_pin            26.67mm       27.94mm       26.67mm       27.94mm       26.67mm       27.94mm  T        180.00 Pin/Pad        
PIN53      PLCC68_pin            27.94mm       26.67mm       27.94mm       26.67mm       27.94mm       26.67mm  T         90.00 Pin/Pad        
PIN52      PLCC68_pin            27.94mm        25.4mm       27.94mm        25.4mm       27.94mm        25.4mm  T         90.00 Pin/Pad        
PIN51      PLCC68_pin            27.94mm       24.13mm       27.94mm       24.13mm       27.94mm       24.13mm  T         90.00 Pin/Pad        
PIN50      PLCC68_pin            27.94mm       22.86mm       27.94mm       22.86mm       27.94mm       22.86mm  T         90.00 Pin/Pad        
PIN49      PLCC68_pin            27.94mm       21.59mm       27.94mm       21.59mm       27.94mm       21.59mm  T         90.00 Pin/Pad        
PIN48      PLCC68_pin            27.94mm       20.32mm       27.94mm       20.32mm       27.94mm       20.32mm  T         90.00 Pin/Pad        
PIN47      PLCC68_pin            27.94mm       19.05mm       27.94mm       19.05mm       27.94mm       19.05mm  T         90.00 Pin/Pad        
PIN46      PLCC68_pin            27.94mm       17.78mm       27.94mm       17.78mm       27.94mm       17.78mm  T         90.00 Pin/Pad        
PIN45      PLCC68_pin            27.94mm       16.51mm       27.94mm       16.51mm       27.94mm       16.51mm  T         90.00 Pin/Pad        
PIN44      PLCC68_pin            27.94mm       15.24mm       27.94mm       15.24mm       27.94mm       15.24mm  T         90.00 Pin/Pad        
PIN43      PLCC68_pin            27.94mm       13.97mm       27.94mm       13.97mm       27.94mm       13.97mm  T         90.00 Pin/Pad        
PIN42      PLCC68_pin            27.94mm        12.7mm       27.94mm        12.7mm       27.94mm        12.7mm  T         90.00 Pin/Pad        
PIN41      PLCC68_pin            27.94mm       11.43mm       27.94mm       11.43mm       27.94mm       11.43mm  T         90.00 Pin/Pad        
PIN40      PLCC68_pin            27.94mm       10.16mm       27.94mm       10.16mm       27.94mm       10.16mm  T         90.00 Pin/Pad        
PIN39      PLCC68_pin            27.94mm        8.89mm       27.94mm        8.89mm       27.94mm        8.89mm  T         90.00 Pin/Pad        
PIN38      PLCC68_pin            27.94mm        7.62mm       27.94mm        7.62mm       27.94mm        7.62mm  T         90.00 Pin/Pad        
PIN37      PLCC68_pin            27.94mm        6.35mm       27.94mm        6.35mm       27.94mm        6.35mm  T         90.00 Pin/Pad        
PIN36      PLCC68_pin            27.94mm        5.08mm       27.94mm        5.08mm       27.94mm        5.08mm  T         90.00 Pin/Pad        
